title,plot_processed,thumbnail,
the lexus and the olive tree,new war world intent build better lexus streamline society economy global marketplace half lock elemental struggle olive tree strip,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
'tis,pulizer author new york time bestseller angela ash frank mccourt glorious childhood memoir angela ash love celebrate reader everywhere win national book critic circle award los angeles time book award pulitzer prize rarely book swiftly find place literary landscape story frank american journey impoverish immigrant brilliant teacher raconteur frank land new york age nineteen get job biltmore hotel immediately encounter vivid hierarchy classless country draft army send germany train dog type report frank incomparable voice render experience spellbind frank return america work dock always resist everyone tell know get education though leave school fourteen talk way new york university fall love quintessential yankee try live dream start teach frank find place,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
ocean star express,haddon peter parent enjoy summer holiday sea ocean star hotel sky bright blue sun shine joe love seaside offer fog roll rain fall joe begin wish back home thing change however owner hotel invite joe share magical world step away loft black night joe head thousand tiny star begin sparkle distance hear model train whole world soon open joe eye world mountain great desert rock fish,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
a small pinch of weather,story magical fantastic collection early story one original child author century year,http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the princess of the chalet school,mary,http://books.google.com/books/content?id=EJcQPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
koko,peter straub foray psychological horror vietnam,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
tree and leaf,homecoming beorhtnoth beorhthelm ronald reuel two work niggle first bring together form book leaf new edition third element add poem mythopoeia making myth,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
partners in crime,tommy fictitious character famous volume tommy tuppence link short story reissue new look coincide brand new series tommy tuppence bbc movie tommy tuppence beresford restless adventure ask take blunt international detective agency leap chance triumphant recovery pink pearl intrigue case keep come way stab sunningdale golf course cryptic message personal column newspaper even box poisoned,http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api
murder in mesopotamia,mystery archaeologist wife murder shore river tigris iraq clear amy leatheran something sinister go hassanieh dig iraq something associate presence louise wife celebrated archaeologist dr leidner day time hercule poirot due drop excavation site louise suffer terrify hallucination tension within group become almost unbearable poirot might late,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
"the lord of the rings, the return of the king",visual war visual guide third lord ring movie trilogy guide character place landscape artefact battle costume see film feature image informative text specially commission,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
all families are psychotic,eve next space shuttle mission divide family come together warm witty wise family psychotic coupland top form hilarious unique wonderful independent sunday cheap motel hour cape canaveral janet drummond take medication rapid tally whereabouts child wade spend night jail suicidal bryan due arrive moment girlfriend shw sarah bolt lightning frozen midflash orlando star friday shuttle mission janet trophy wife also town janet spend moment contemplate family go wrong,http://books.google.com/books/content?id=jYBsNp6NPVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
